date,open,high,low,close,volume,average,barCount
2015-07-09 09:15:00+05:30,531.25,532.65,530.05,530.55,39990.0,531.65,362
2015-07-09 09:30:00+05:30,530.7,531.95,530.4,531.15,59334.0,531.235,829
2015-07-09 10:30:00+05:30,531.15,536.2,530.9,535.85,55370.0,533.9575,1001
2015-07-09 11:30:00+05:30,535.85,536.2,533.6,534.9,43096.0,534.57,1431
2015-07-09 12:30:00+05:30,534.75,536.0,533.85,534.3,44588.0,535.0,1764
2015-07-09 13:30:00+05:30,534.3,538.45,534.3,536.45,65294.0,537.01,1137
2015-07-09 14:30:00+05:30,536.45,537.85,535.75,536.25,152046.0,536.81,1378
2015-07-10 09:15:00+05:30,534.9,537.35,534.3,536.3,25128.0,536.525,209
2015-07-10 09:30:00+05:30,536.25,539.0,535.7,538.65,36394.0,537.13,626
2015-07-10 10:30:00+05:30,538.65,539.9,537.0,539.5,38716.0,538.4625,601
2015-07-10 11:30:00+05:30,539.5,541.6,539.0,541.5,65666.0,540.5175,828
2015-07-10 12:30:00+05:30,541.5,543.85,540.55,542.85,104220.0,542.4525,1143
2015-07-10 13:30:00+05:30,542.95,545.35,542.5,542.9,212226.0,544.4175,1312
2015-07-10 14:30:00+05:30,542.95,547.5,542.5,544.5,187242.0,544.645,1625
2015-07-13 09:15:00+05:30,542.75,546.25,542.75,544.3,25214.0,544.8225,272
2015-07-13 09:30:00+05:30,544.3,547.25,544.2,546.25,71996.0,545.2125,841
2015-07-13 10:30:00+05:30,546.15,546.9,545.1,546.0,77018.0,545.8,1031
2015-07-13 11:30:00+05:30,545.85,547.0,544.25,546.0,98112.0,545.59,705
2015-07-13 12:30:00+05:30,546.0,552.95,545.7,549.15,159664.0,549.2625,1196
2015-07-13 13:30:00+05:30,549.25,551.5,549.15,550.9,64462.0,550.635,678
2015-07-13 14:30:00+05:30,551.05,551.25,547.35,547.6,390092.0,548.75,1852
2015-07-14 09:15:00+05:30,547.75,548.65,547.3,548.0,20362.0,547.8525,260
2015-07-14 09:30:00+05:30,547.95,550.75,546.45,549.95,87844.0,548.335,689
2015-07-14 10:30:00+05:30,549.95,550.95,544.5,544.7,94500.0,548.095,805
2015-07-14 11:30:00+05:30,544.7,547.5,543.0,546.0,87588.0,545.54,821
2015-07-14 12:30:00+05:30,546.0,547.0,545.0,546.0,65388.0,546.0625,536
2015-07-14 13:30:00+05:30,546.1,548.15,545.25,546.05,99422.0,546.91,710
2015-07-14 14:30:00+05:30,545.95,547.65,543.8,544.35,135472.0,546.275,908
2015-07-15 09:15:00+05:30,546.5,549.75,545.4,549.15,20112.0,547.825,220
2015-07-15 09:30:00+05:30,549.25,549.7,547.8,548.4,46570.0,548.61,609
2015-07-15 10:30:00+05:30,548.6,548.85,547.2,548.75,97242.0,548.23,632
2015-07-15 11:30:00+05:30,548.55,550.75,548.35,550.0,89934.0,549.475,585
2015-07-15 12:30:00+05:30,550.0,550.0,547.8,548.95,53448.0,548.72,498
2015-07-15 13:30:00+05:30,548.75,549.95,548.0,549.0,108954.0,549.255,1034
2015-07-15 14:30:00+05:30,548.75,549.5,547.55,548.0,145692.0,548.395,966
2015-07-16 09:15:00+05:30,549.4,551.8,549.1,549.75,38682.0,550.4025,234
2015-07-16 09:30:00+05:30,549.85,555.75,549.3,555.5,120594.0,552.48,999
2015-07-16 10:30:00+05:30,555.5,557.5,554.55,556.05,176404.0,556.2675,1675
2015-07-16 11:30:00+05:30,556.05,556.5,554.75,554.95,110778.0,555.5675,878
2015-07-16 12:30:00+05:30,554.8,555.75,552.8,554.55,160002.0,554.7225,1214
2015-07-16 13:30:00+05:30,554.45,556.75,553.75,556.45,182178.0,555.5025,1333
2015-07-16 14:30:00+05:30,556.5,559.5,555.1,558.05,232334.0,556.605,2000
2015-07-17 09:15:00+05:30,560.3,560.9,558.45,558.85,38582.0,559.46,295
2015-07-17 09:30:00+05:30,558.9,558.9,554.75,555.6,54046.0,556.45,687
2015-07-17 10:30:00+05:30,555.4,556.05,554.15,554.8,33310.0,555.19,468
2015-07-17 11:30:00+05:30,554.9,555.4,552.85,554.0,54606.0,554.8325,778
2015-07-17 12:30:00+05:30,554.0,555.7,553.7,554.85,69918.0,554.93,899
2015-07-17 13:30:00+05:30,555.0,555.85,554.3,555.0,146866.0,555.14,719
2015-07-17 14:30:00+05:30,554.75,557.0,553.4,556.8,140672.0,555.315,953
2015-07-20 09:15:00+05:30,558.55,559.45,555.9,556.65,19952.0,557.375,207
2015-07-20 09:30:00+05:30,556.55,557.0,554.65,556.5,45124.0,555.9425,579
2015-07-20 10:30:00+05:30,556.7,558.0,554.75,556.0,65254.0,556.0,631
2015-07-20 11:30:00+05:30,556.25,556.45,553.65,554.3,61968.0,554.9425,604
2015-07-20 12:30:00+05:30,554.6,555.25,553.5,554.8,61850.0,554.3275,668
