date,open,high,low,close,volume,average,barCount
2015-07-03 09:15:00+05:30,1285.7,1293.7,1285,1292.7,15156,1289.705,543
2015-07-03 09:30:00+05:30,1292.7,1296.8,1292.7,1294.6,23734,1294.875,1297
2015-07-03 10:30:00+05:30,1294.5,1297.5,1293.3,1296.5,21726,1296.13,1361
2015-07-03 11:30:00+05:30,1296.5,1299,1296,1297.1,19838,1297.315,1399
2015-07-03 12:30:00+05:30,1297.5,1301.6,1294.5,1296.5,34280,1298.075,1511
2015-07-03 13:30:00+05:30,1296.6,1300,1296,1297.8,24856,1298.305,1216
2015-07-03 14:30:00+05:30,1297.8,1305,1295.7,1301.6,66514,1300.77,1674
2015-07-06 09:15:00+05:30,1292.5,1300,1290.5,1292.3,21610,1294.36,458
2015-07-06 09:30:00+05:30,1292.3,1298,1292.3,1295,39300,1294.995,1013
2015-07-06 10:30:00+05:30,1295.9,1295.9,1290.5,1291.8,22276,1292.62,861
2015-07-06 11:30:00+05:30,1292,1298,1291,1297.5,22872,1295.175,955
2015-07-06 12:30:00+05:30,1297.5,1305,1295.7,1302.4,35318,1300.67,1175
2015-07-06 13:30:00+05:30,1302.4,1316.3,1298.3,1314.6,45918,1307.37,1271
2015-07-06 14:30:00+05:30,1315.6,1322.5,1311,1314.9,104782,1317.665,2063
2015-07-07 09:15:00+05:30,1316,1322,1313.6,1316.4,23528,1318.33,598
2015-07-07 09:30:00+05:30,1316.3,1323.5,1311,1320.3,61370,1317.645,1767
2015-07-07 10:30:00+05:30,1320.9,1322.4,1318.5,1319.3,34966,1320.31,1393
2015-07-07 11:30:00+05:30,1319.3,1321.3,1313.3,1314.8,56338,1317.79,1374
2015-07-07 12:30:00+05:30,1314.8,1317,1312.6,1313.2,50888,1314.62,1166
2015-07-07 13:30:00+05:30,1313.2,1314.6,1305.2,1306.2,46684,1309.65,1384
2015-07-07 14:30:00+05:30,1306.2,1312.5,1301.5,1312,86256,1307.735,1912
2015-07-08 09:15:00+05:30,1298.5,1305.8,1297.2,1300.6,17372,1300.13,610
2015-07-08 09:30:00+05:30,1300.7,1310.9,1299.6,1302.5,43844,1305.735,2288
2015-07-08 10:30:00+05:30,1302.4,1306.1,1299,1300,46104,1301.785,2285
2015-07-08 11:30:00+05:30,1300,1302.5,1293.1,1295,48976,1298.33,1888
2015-07-08 12:30:00+05:30,1295.1,1299,1290.5,1294.2,52598,1294.005,2300
2015-07-08 13:30:00+05:30,1294,1303,1294,1296.2,58826,1297.16,2262
2015-07-08 14:30:00+05:30,1296.2,1300.3,1290.5,1293.8,184858,1297.765,2836
2015-07-09 09:15:00+05:30,1298.5,1298.5,1283.5,1285,33450,1288.2,748
2015-07-09 09:30:00+05:30,1284.5,1285.8,1265.7,1268.5,87206,1274.315,2898
2015-07-09 10:30:00+05:30,1268.5,1275,1267.6,1272.8,54896,1272.35,2273
2015-07-09 11:30:00+05:30,1272.8,1281.8,1272,1277.7,53700,1276.385,1819
2015-07-09 12:30:00+05:30,1277.7,1281,1271.6,1272.5,61554,1277.5,1856
2015-07-09 13:30:00+05:30,1272.5,1277.5,1267.5,1269.6,62954,1273.32,2087
2015-07-09 14:30:00+05:30,1270.3,1271.6,1253.5,1264.7,202746,1263.075,3083
2015-07-10 09:15:00+05:30,1277.3,1277.3,1247.3,1252.3,50520,1258.965,870
2015-07-10 09:30:00+05:30,1252.2,1264.5,1250,1253,113874,1257.195,3066
2015-07-10 10:30:00+05:30,1253,1255.5,1237.2,1239,128954,1242.71,3218
2015-07-10 11:30:00+05:30,1238.6,1240.5,1234.3,1235.7,82890,1237.46,2997
2015-07-10 12:30:00+05:30,1235.7,1241,1234.8,1235.3,91416,1237.165,2878
2015-07-10 13:30:00+05:30,1235.7,1236.8,1227.5,1228.1,105090,1230.895,3142
2015-07-10 14:30:00+05:30,1228.1,1240.5,1227.5,1234,155850,1235.055,3260
2015-07-13 09:15:00+05:30,1240,1248.3,1239,1245,36802,1244.43,724
2015-07-13 09:30:00+05:30,1245,1249.5,1242.5,1247.5,67438,1246.15,1716
2015-07-13 10:30:00+05:30,1247,1251,1246,1249,60924,1248.61,1696
2015-07-13 11:30:00+05:30,1249,1252.4,1247.5,1250.6,79544,1249.675,1318
2015-07-13 12:30:00+05:30,1250.3,1256.5,1250.3,1254.8,87764,1253.625,1775
2015-07-13 13:30:00+05:30,1255,1258.8,1253.5,1257.5,99802,1255.865,1398
2015-07-13 14:30:00+05:30,1256.9,1259.3,1251.5,1253.3,109240,1256.69,1931
2015-07-14 09:15:00+05:30,1255.5,1257.5,1247.3,1251.5,22962,1253.065,617
2015-07-14 09:30:00+05:30,1251.5,1254,1246.9,1250.7,55508,1251.025,1669
2015-07-14 10:30:00+05:30,1250.7,1251.4,1245,1247.5,52632,1247.825,1213
2015-07-14 11:30:00+05:30,1247.5,1249.8,1246,1247.6,49148,1248.03,983
2015-07-14 12:30:00+05:30,1248,1251.7,1247,1250,57634,1249.59,1108
2015-07-14 13:30:00+05:30,1250,1251,1248.5,1249.3,64660,1249.625,1605
2015-07-14 14:30:00+05:30,1249,1251.5,1247.5,1249.5,94450,1249.625,1769
2015-07-15 09:15:00+05:30,1250.5,1265.6,1250,1262.5,34312,1259.785,773
2015-07-15 09:30:00+05:30,1262.5,1265,1260.1,1263.8,62864,1262.395,2183
2015-07-15 10:30:00+05:30,1263.8,1265.5,1262.5,1263.5,52368,1264.16,1992
